Object Name,Latitude,Longitude
THOR ABLESTAR DEB,28.070575905129843,-26.585050812370298
THOR ABLESTAR DEB,23.85788702540014,-35.381743967843484
THOR ABLESTAR R/B,25.116142443920317,-3.57146223602124
TRANSIT 5B-1,-28.29679826042499,177.9730950136019
RADIATION SAT (5E 1),9.803505304563698,-2.1448613808645827
THOR ABLESTAR DEB,-74.23081817946678,-3.029838469510414
ATLAS CENTAUR 2 R/B,28.509881363532667,126.88830836609183
ATLAS CENTAUR 2 DEB,22.456235436780755,11.413049729371693
ATLAS CENTAUR 2 DEB,-10.495090516632253,-148.95906628970897
ATLAS CENTAUR 2 DEB,16.674489793366682,-15.568613265538643
WESTFORD NEEDLES,-78.85313158558859,-39.190429075035745
THOR ABLESTAR R/B,-9.999088044462345,125.12409699780083
TRANSIT 5B-2,-61.712341667279084,125.5337366043982
TRANSIT 5E 3,-60.83924393712721,-54.18809831128394
THOR ABLESTAR DEB,32.19271481779894,-51.89721284281737
THOR ABLESTAR DEB,54.3264549254615,-48.37258080112617
TIROS 8,46.24357687995417,82.88740327062588
DELTA 1 DEB,31.208369638249618,62.065915917661535
SCOUT X-4 R/B,-56.04178178390553,-4.252523451128876
SCOUT X-4 DEB,45.373469676442504,11.574403184246401
THOR AGENA D R/B,-63.02926895339685,65.48821768692673
GGSE 1 (GGRS),-10.777174035589761,-45.07469217085799
SECOR 1B,-2.842062324365627,-162.41936663795377
SOLRAD 7A,28.074054263223466,-2.4917047882776977
GREB,-4.5405194137823175,179.6170583744235
SCOUT X-4 DEB,-0.14811456114304605,-132.0961991721716
THOR AGENA D R/B,0.026450942679621652,178.45169075245218
OPS 3367 A,-0.8020530462621632,104.21696923375859
OPS 3367 B,20.77514238029991,-77.17851808971045
RELAY 2,7.78034764608602,94.3887789308803
DELTA 1 R/B,46.010815958382494,8.3351487164667
ATLAS CENTAUR 2 DEB,-30.560804055177115,-169.07729756162016
THOR AGENA B R/B,13.276064091114861,-41.086135869152464
THOR AGENA B DEB,-59.51348127331222,59.26002755241956
THOR AGENA B DEB,-19.047353337114277,-40.319456258922315
THOR ABLESTAR DEB,87.12072299650791,-5.448817164492839
ELEKTRON 1,52.362332066256926,62.541769149385644
ELEKTRON 1 DEB,-11.835503697692731,35.01923425687949
THOR ABLESTAR DEB,-37.07919207609474,127.74651901966178
OPS 4412 (TRANSIT 9),-57.81036483728455,62.30110747924035
SCOUT X-4 DEB,-39.52816561855629,32.786761098943124
SCOUT X-4 R/B,-79.22001919211527,56.78075335962937
OPS 4467 A,-65.05370098469108,138.08745329763173
OPS 4467 B,39.7503820778193,-56.74304811792802
THOR AGENA D R/B,78.92340880254551,-176.91117968681252
ELEKTRON 3,30.581395267015118,128.4164254044895
ELEKTRON 3 DEB,-25.94193252538475,-34.11293752808276
SYNCOM 3,0.5570288382951994,156.71004509117944
DELTA 1 R/B,12.819238073456281,-147.37961867700326
EXPLORER 20,-20.864027929892913,105.10312959533735
SCOUT X-4 R/B,29.2724699693347,116.3681360269193
COSMOS 44,-38.81650141988732,-62.75959163627139
SL-3 R/B,-49.29839445205561,-179.40885109606344
OGO 1,75.10339251675765,38.40666678251421
THOR ABLESTAR R/B,-60.431350168884705,-129.18271358637145
OPS 5798 (TRANSIT 5B-4),33.90631659898362,50.49996581428266
EXPLORER 22,68.58956983159528,125.63245250766894
